id;a0;a1;a2;v;e;f;v
1;2;8;44;-;1;1;1;1
2;1;3;43;-;5;1;1;1
3;4;2;20;-;5;2;1;1
4;3;5;19;-;7;2;1;1
5;6;4;12;-;7;3;1;1
6;5;7;11;-;3;3;1;1
7;8;6;36;-;3;4;1;1
8;7;1;35;-;1;4;1;1
9;10;16;38;-;4;5;2;1
10;9;11;37;-;3;5;2;1
11;12;10;6;-;3;3;2;1
12;11;13;5;-;7;3;2;1
13;14;12;18;-;7;6;2;1
14;13;15;17;-;8;6;2;1
15;16;14;30;-;8;7;2;1
16;15;9;29;-;4;7;2;1
17;18;24;14;-;8;6;3;1
18;17;19;13;-;7;6;3;1
19;20;18;4;-;7;2;3;1
20;19;21;3;-;5;2;3;1
21;22;20;42;-;5;8;3;1
22;21;23;41;-;6;8;3;1
23;24;22;32;-;6;9;3;1
24;23;17;31;-;8;9;3;1
25;26;32;48;-;6;10;4;1
26;25;27;47;-;2;10;4;1
27;28;26;40;-;2;11;4;1
28;27;29;39;-;4;11;4;1
29;30;28;16;-;4;7;4;1
30;29;31;15;-;8;7;4;1
31;32;30;24;-;8;9;4;1
32;31;25;23;-;6;9;4;1
33;34;40;46;-;2;12;5;1
34;33;35;45;-;1;12;5;1
35;36;34;8;-;1;4;5;1
36;35;37;7;-;3;4;5;1
37;38;36;10;-;3;5;5;1
38;37;39;9;-;4;5;5;1
39;40;38;28;-;4;11;5;1
40;39;33;27;-;2;11;5;1
41;42;48;22;-;6;8;6;1
42;41;43;21;-;5;8;6;1
43;44;42;2;-;5;1;6;1
44;43;45;1;-;1;1;6;1
45;46;44;34;-;1;12;6;1
46;45;47;33;-;2;12;6;1
47;48;46;26;-;2;10;6;1
48;47;41;25;-;6;10;6;1
